Platform,MinimumBIOSVersion
Alienware 16 Area-51 AA16250,1.7.0
Alienware 16 Aurora AC16250,1.6.3
Alienware 16X Aurora AC16251,1.5.4
Alienware 18 Area-51 AA18250,1.7.0
Alienware Area-51 AAT2250,1.9.1
Alienware Aurora ACT1250,1.8.1
Alienware Aurora R13,1.29.0
Alienware Aurora R15,1.25.1
Alienware Aurora R15 AMD,1.21.0
Alienware Aurora R16,2.21.1
Alienware Aurora Ryzen Edition R14,2.27.1
Alienware m15 R6,1.40.0
Alienware m15 R7,1.35.0
Alienware m15 R7 AMD,1.24.0
Alienware m15 Ryzen Edition R5,1.29.1
Alienware m16 R1,1.29.1
Alienware m16 R1 AMD,1.20.0
Alienware m16 R2,1.15.0
Alienware m17 R5 AMD,1.24.0
Alienware m18,1.20.0
Alienware m18 R1,1.29.1
Alienware M18 R2,1.17.1
Alienware x14,1.29.0
Alienware x14 R2,1.26.1
Alienware x15 R1,1.31.1
Alienware x15 R2,1.30.0
Alienware x16 R1,1.26.1
Alienware X16 R2,1.15.0
Alienware x17 R1,1.31.1
Alienware x17 R2,1.30.0
ChengMing 3900,1.34.1
ChengMing 3910/3911,1.29.1
Dell 14 DC14250,1.1.1
Dell 14 DC14255,1.4.1
Dell 14 Plus 2-in-1 DB04250,1.6.0
Dell 14 Plus 2-in-1 DB04255,1.4.1
Dell 14 Plus DB14250,1.6.0
Dell 14 Plus DB14255,1.4.1
Dell 14 Premium DA14250,1.3.2
Dell 14 DC14250,1.1.1
Dell 15 DC15250,1.2.1
Dell 15 DC15255,1.3.1
Dell 16 DC16250,1.3.0
Dell 16 DC16251,1.3.0
Dell 16 DC16255,1.0.1
Dell 16 DC16256,1.0.1
Dell 16 Plus 2-in-1 DB06250,1.6.0
Dell 16 Plus DB16250,1.6.0
Dell 16 Plus DB16255,1.4.1
Dell 16 Premium DA16250,1.5.0
Dell 24 All-in-One EC24250,1.7.1
DELL 27 All-in-One EC27250,1.7.1
Dell Laptop DC14255,1.4.1
Dell Slim ECS1250,1.6.2
Dell Tower ECT1250,1.6.2
Dell Tower Plus EBT2250,1.8.1
Dell G15 5510,1.36.0
Dell G15 5511,1.39.0
Dell G15 5515,1.28.1
Dell G15 5520,1.35.0
Dell G15 5525,1.24.0
Dell G15 5535,1.16.0
Dell G16 7620,1.35.0
Dell Pro 13 Plus PB13250,2.6.1
Dell Pro 13 Plus PB13255,1.7.0
Dell Pro 13 Premium PA13250,2.6.1
Dell Pro 14 Essential PV14250,1.1.1
Dell Pro 14 Essential PV14255,1.5.0
Dell Pro 14 PC14250,1.7.0
Dell Pro 14 PC14255,1.7.0
Dell Pro 14 Plus PB14250,2.6.1
Dell Pro 14 Plus PB14255,1.7.0
Dell Pro 14 Premium PA14250,2.6.1
Dell Pro 15 Essential PV15250,1.0.0
Dell Pro 15 Essential PV15255,1.2.1
Dell Pro 16 PC16250,1.7.0
Dell Pro 16 PC16255,1.7.0
Dell Pro 16 Plus PB16250,2.6.1
Dell Pro 16 Plus PB16255,1.7.0
Dell Pro 24 All-in-One Plus QB24250,1.8.1
Dell Pro 24 All-in-One QC24250,1.8.1
Dell Pro 24 All-in-One QC24251,1.8.1
Dell Pro Laptop PC14250,1.7.0
Dell Pro Laptop PC16250,1.7.0
Dell Pro Max 14 MC14250,1.7.0
Dell Pro Max 14 MC14255,1.2.1
Dell Pro Max 14 Premium MA14250,1.4.2
Dell Pro Max 16 MC16250,1.7.0
Dell Pro Max 16 MC16255,1.2.1
Dell Pro Max 16 Plus MB16250,1.3.3
Dell Pro Max 16 Premium MA16250,1.4.2
Dell Pro Max 18 Plus MB18250,1.3.3
Dell Pro Max Micro FCM2250,1.7.1
Dell Pro Max Slim FCS1250,1.7.1
Dell Pro Max Tower T2 FCT2250,1.7.1
Dell Pro Max with GB10 FCM1253,1.1.0
Dell Pro Micro QCM1255,1.4.2
