Platform,MinimumBIOSVersion,BIOSFamily,SoftpaqNumber
HP 250R 15.6 inch G9,F.14,INSYDE,sp161765
HP 250RT 15.6 inch G9,TBD,INSYDE,TBD
HP 256R 15.6 inch G9,F.14,INSYDE,sp161765
HP EliteBook 6 G1a 14 inch AI,01.02.01,X77,sp162993
HP EliteBook 6 G1a 14 inch Next Gen AI,01.02.01,X76,sp162992
HP EliteBook 6 G1a 16 inch AI,01.02.01,X77,sp162993
HP EliteBook 6 G1ah 14 inch,01.02.01,X77,sp162993
HP EliteBook 6 G1ah 16 inch,01.02.01,X77,sp162993
HP EliteBook 6 G1i 13 inch AI,01.02.01,X74,sp161471
HP EliteBook 6 G1i 14 inch AI,01.02.01,X74,sp161471
HP EliteBook 6 G1i 16 inch AI,01.02.01,X74,sp161471
HP EliteBook 6 G1iR 14 inch,01.02.02,X75,sp161652
HP EliteBook 6 G1iR 16 inch,01.02.02,X75,sp161652
HP EliteBook 6 G1q 14 inch Next Gen AI,TBD,X68,TBD
HP EliteBook 8 Flip G1i 13 inch AI,01.02.05,X70,sp165495
HP EliteBook 8 G1a 13 inch AI,01.03.03,X81,sp164482
HP EliteBook 8 G1a 13 inch Next Gen AI,01.03.03,X83,sp164484
HP EliteBook 8 G1a 14 inch AI,01.03.03,X82,sp164483
HP EliteBook 8 G1a 14 inch Next Gen AI,01.03.03,X84,sp164485
HP EliteBook 8 G1a 16 inch AI,01.03.03,X82,sp164483
HP EliteBook 8 G1a 16 inch Next Gen AI,01.03.03,X84,sp164485
HP EliteBook 8 G1i 13 inch AI,01.02.05,X70,sp165495
HP EliteBook 8 G1i 14 inch AI,01.02.05,X70,sp165495
HP EliteBook 8 G1i 14 inch Next Gen AI,01.02.04,X91,sp162871
HP EliteBook 8 G1i 16 inch AI,01.02.05,X70,sp165495
HP EliteBook 8 G1i 16 inch Next Gen AI,01.02.04,X91,sp162871
HP EliteBook X Flip G1i 14 AI,01.02.23,X90,sp163124
HP EliteBook X G1a 14 inch Next Gen AI,01.03.11,X88,sp163352
HP EliteBook X G1i 14 AI,01.02.23,X90,sp163124
HP Fortis Flip G1i 11 inch,01.01.40,X95,sp163198
HP ProBook 4 G1a 14 inch AI,01.02.01,X78,sp162994
HP ProBook 4 G1a 16 inch AI,01.02.01,X78,sp162994
HP ProBook 4 G1ah 14 inch,01.02.01,X78,sp162994
HP ProBook 4 G1ah 16 inch,01.02.01,X78,sp162994
HP ProBook 4 G1i 14 inch AI,01.02.01,X72,sp161470
HP ProBook 4 G1i 16 inch AI,01.02.01,X72,sp161470
HP ProBook 4 G1iR 14 inch (H),01.02.02,X93,sp161651
HP ProBook 4 G1iR 14 inch (U),01.02.02,X73,sp161651
HP ProBook 4 G1iR 16 inch (H),01.02.02,X93,sp161651
HP ProBook 4 G1iR 16 inch (U),01.02.02,X73,sp161651
HP ProBook 4 G1q 14 inch Next Gen AI,TBD,X68,TBD
HP ZBook 8 G1ak 14 inch,01.03.03,X84,sp164485
HP ZBook 8 G1as 14 inch,01.03.03,X84,sp164485
HP Elite x360 1040 14 inch G11 2-in-1,01.07.00,W90,sp162963
HP Elite x360 830 13 inch G11 2-in-1,01.07.02,W70,sp164375
HP EliteBook 1040 14 inch G11,01.07.00,W90,sp162963
HP EliteBook 630 13.3 inch G11,01.07.02,W74,sp164396
HP EliteBook 640 14 inch G11,01.07.02,W74,sp164396
HP EliteBook 645 14 inch G11,01.06.01,W77,sp165514
HP EliteBook 660 16 inch G11,01.07.02,W74,sp164396
HP EliteBook 665 16 inch G11,01.06.01,W77,sp165514
HP EliteBook 830 13 inch G11,01.07.02,W70,sp164375
HP EliteBook 835 13 inch G11,01.06.00,W83,sp163243
HP EliteBook 835 13 inch G11 AI,01.06.00,W83,sp163243
HP EliteBook 840 14 inch G11,01.07.02,W70,sp164375
HP EliteBook 845 14 inch G11,01.06.00,W82,sp163242
HP EliteBook 845 14 inch G11 AI,01.06.00,W82,sp163242
HP EliteBook 860 16 inch G11,01.07.02,W70,sp164375
HP EliteBook 865 16 inch G11,01.06.00,W82,sp163242
HP EliteBook 865 16 inch G11 AI,01.06.00,W82,sp163242
HP Pro x360 Fortis 11 inch G11,01.12.00,V95,sp163194
HP Pro x360 Fortis 11 inch G11,01.12.00,W95,sp163194
HP ProBook 440 14 inch G11,01.07.00,W72,sp162996
HP ProBook 440 16 inch G11,01.07.00,W72,sp162996
HP ProBook 445 14 inch G11,01.06.01,W78,sp165526
HP ProBook 465 16 inch G11,01.06.01,W78,sp165526
HP Dragonfly 13.5 inch G4,01.10.00,V90,sp163105
HP Elite x360 1040 14 inch G10,01.10.00,V70,sp163147
HP Elite x360 830 13 inch G10,01.10.00,V70,sp163147
HP EliteBook 1040 14 inch G10,01.10.00,V70,sp163147
HP EliteBook 630 13.3 inch G10,01.10.00,V74,sp163137
HP EliteBook 640 14 inch G10,01.10.00,V75,sp163137
HP EliteBook 645 14 inch G10,01.11.01,V77,sp163143
HP EliteBook 650 15.6 inch G10,01.10.00,V75,sp163137
HP EliteBook 655 15.6 inch G10,01.11.01,V77,sp163143
HP EliteBook 830 13 inch G10,01.10.00,V70,sp163147
HP EliteBook 835 13 inch G10,01.10.03,V83,sp164436
HP EliteBook 840 14 inch G10,01.10.00,V70,sp163147
HP EliteBook 860 16 inch G10,01.10.00,V70,sp163147
HP Pro x360 435 13.3 inch G10,01.11.01,V80,sp165485
HP ProBook 440 14 inch G10,01.10.00,V72,sp163136
HP ProBook 445 14 inch G10,01.11.01,V78,sp163142
HP ProBook 450 15.6 inch G10,01.10.00,V72,sp163136
HP ProBook 455 15.6 inch G10,01.11.01,V78,sp163142
HP Dragonfly Folio 13.5 inch G3,01.16.00,U93,sp163116
HP Elite Dragonfly 13.5 inch G3,01.16.00,U90,sp163108
HP Elite x360 1040 14 inch G9,01.16.01,U70,sp163146
HP Elite x360 830 13 inch G9,01.16.01,U70,sp163146
HP EliteBook 1040 14 inch G9,01.16.01,U70,sp163146
HP EliteBook 630 13 inch G9,01.16.00,U75,sp163140
HP EliteBook 640 14 inch G9,01.16.00,U75,sp163140
HP EliteBook 640 14 inch G9,01.16.00,U86,sp163140
HP EliteBook 645 14 inch G9,01.20.00,U77,sp163061
HP EliteBook 645 14 inch G9,01.20.00,U87,sp163061
HP EliteBook 650 15.6 inch G9,01.16.00,U75,sp163140
HP EliteBook 650 15.6 inch G9,01.16.00,U86,sp163140
HP EliteBook 655 14 inch G9,01.20.00,U77,sp163061
HP EliteBook 655 14 inch G9,01.20.00,U87,sp163061
HP EliteBook 830 13 inch G9,01.16.01,U70,sp163146
HP EliteBook 835 13 inch G9,01.14.00,U82,sp163189
HP EliteBook 840 14 inch G9,01.16.01,U70,sp163146
HP EliteBook 840 14 inch G9,01.16.01,U71,sp163146
HP EliteBook 840 14 inch G9,01.16.01,U76,sp163146
HP EliteBook 845 14 inch G9,01.14.00,U82,sp163189
HP EliteBook 855 16 inch G9,01.14.00,U82,sp163189
HP EliteBook 860 16 inch G9,01.16.01,U70,sp163146
HP EliteBook 860 16 inch G9,01.16.01,U71,sp163146
HP Pro x360 435 G9,01.20.00,U80,sp163195
HP Pro x360 Fortis 11 inch G10,01.15.01,U95,sp162959
HP Pro x360 Fortis 11 inch G9,01.15.00,U94,sp162977
HP Pro x360 Fortis 11 inch G9,01.15.00,U98,sp162977
HP ProBook 440 14 inch G9,01.16.00,U72,sp163135
HP ProBook 445 14 inch G9,01.20.00,U78,sp163060
HP ProBook 445 14 inch G9,01.20.00,U88,sp163060
HP ProBook 450 14 inch G9,01.16.00,U72,sp163135
HP ProBook 455 14 inch G9,01.20.00,U78,sp163060
HP ProBook 455 14 inch G9,01.20.00,U88,sp163060
HP ProBook Fortis 14 inch G10,01.15.01,U95,sp162960
HP ProBook Fortis 14 inch G9,01.15.00,U94,sp162978
