Model,SupportedBiosVersion 
HP ProBook 440 G8 Notebook PC,01.22.00
HP ProBook 440 14 inch G11 Notebook PC,01.07.02
HP ProBook 440 14 inch G10 Notebook PC,01.10.00
HP ProBook 440 14 inch G9 Notebook PC,01.16.00
HP ProBook 450 G8 Notebook PC,01.22.00
HP ProBook 450 15.6 inch G10 Notebook PC,01.10.00
HP EliteBook 640 14 inch G10 Notebook PC,01.10.00
HP Elite Tower 600 G9 Desktop PC,02.19.01
ProLiant DL380 Gen10,3.40
ProLiant ML110 Gen10,3.40
ProLiant DL385 Gen10 Plus v2,3.60
ProLiant DL385 Gen11,2.30
